Freq.	V(vout)
8.12830516164095e+001	(3.23662122074690e-003dB,-2.07021205695864e-001°)
8.31763771102667e+001	(3.39664219929082e-003dB,-2.11847264752650e-001°)
8.51138038202372e+001	(3.56420778820419e-003dB,-2.16786017372067e-001°)
8.70963589956076e+001	(3.73967384880557e-003dB,-2.21840108583751e-001°)
8.91250938133741e+001	(3.92341304206268e-003dB,-2.27012246465006e-001°)
9.12010839355905e+001	(4.11581562313073e-003dB,-2.32305203712357e-001°)
9.33254300796986e+001	(4.31729027354426e-003dB,-2.37721819257272e-001°)
9.54992586021431e+001	(4.52826497292955e-003dB,-2.43264999927300e-001°)
9.77237220955805e+001	(4.74918791210124e-003dB,-2.48937722154523e-001°)
9.99999999999995e+001	(4.98052844961556e-003dB,-2.54743033732909e-001°)
1.02329299228075e+002	(5.22277811364010e-003dB,-2.60684055626357e-001°)
1.04712854805089e+002	(5.47645165166820e-003dB,-2.66763983829321e-001°)
1.07151930523760e+002	(5.74208812993945e-003dB,-2.72986091282183e-001°)
1.09647819614318e+002	(6.02025208540296e-003dB,-2.79353729843032e-001°)
1.12201845430196e+002	(6.31153473234378e-003dB,-2.85870332318594e-001°)
1.14815362149688e+002	(6.61655522658717e-003dB,-2.92539414556107e-001°)
1.17489755493952e+002	(6.93596198992457e-003dB,-2.99364577598985e-001°)
1.20226443461741e+002	(7.27043409769219e-003dB,-3.06349509908485e-001°)
1.23026877081237e+002	(7.62068273256135e-003dB,-3.13497989654324e-001°)
1.25892541179416e+002	(7.98745270765498e-003dB,-3.20813887077045e-001°)
1.28824955169313e+002	(8.37152406257891e-003dB,-3.28301166924912e-001°)
1.31825673855640e+002	(8.77371373552352e-003dB,-3.35963890968924e-001°)
1.34896288259165e+002	(9.19487731548244e-003dB,-3.43806220598821e-001°)
1.38038426460288e+002	(9.63591087828525e-003dB,-3.51832419504055e-001°)
1.41253754462275e+002	(1.00977529105427e-002dB,-3.60046856443043e-001°)
1.44543977074592e+002	(1.05813863258388e-002dB,-3.68454008105147e-001°)
1.47910838816820e+002	(1.10878405775714e-002dB,-3.77058462069089e-001°)
1.51356124843620e+002	(1.16181938732805e-002dB,-3.85864919862563e-001°)
1.54881661891247e+002	(1.21735754953445e-002dB,-3.94878200127659e-001°)
1.58489319246110e+002	(1.27551682332310e-002dB,-4.04103241897018e-001°)
1.62181009735892e+002	(1.33642109328895e-002dB,-4.13545107986112e-001°)
1.65958690743755e+002	(1.40020011689118e-002dB,-4.23208988507262e-001°)
1.69824365246173e+002	(1.46698980456063e-002dB,-4.33100204511186e-001°)
1.73780082874936e+002	(1.53693251332878e-002dB,-4.43224211762724e-001°)
1.77827941003891e+002	(1.61017735464967e-002dB,-4.53586604657195e-001°)
1.81970085860997e+002	(1.68688051711863e-002dB,-4.64193120284612e-001°)
1.86208713666286e+002	(1.76720560482091e-002dB,-4.75049642649586e-001°)
1.90546071796323e+002	(1.85132399210551e-002dB,-4.86162207054713e-001°)
1.94984459975803e+002	(1.93941519557858e-002dB,-4.97537004656280e-001°)
1.99526231496887e+002	(2.03166726419914e-002dB,-5.09180387201512e-001°)
2.04173794466952e+002	(2.12827718837830e-002dB,-5.21098871956988e-001°)
2.08929613085403e+002	(2.22945132903147e-002dB,-5.33299146839061e-001°)
2.13796208950222e+002	(2.33540586760255e-002dB,-5.45788075756900e-001°)
2.18776162394954e+002	(2.44636727810928e-002dB,-5.58572704180586e-001°)
2.23872113856832e+002	(2.56257282233483e-002dB,-5.71660264946795e-001°)
2.29086765276776e+002	(2.68427106934007e-002dB,-5.85058184315518e-001°)
2.34422881531991e+002	(2.81172244054351e-002dB,-5.98774088292720e-001°)
2.39883291901947e+002	(2.94519978167428e-002dB,-6.12815809234070e-001°)
2.45470891568501e+002	(3.08498896298472e-002dB,-6.27191392746663e-001°)
2.51188643150956e+002	(3.23138950918197e-002dB,-6.41909104906507e-001°)
